GROUP,Latitude,Longitude,class,class2,DENSITY,LnDENSITY,npp,biodiv,pathos,npp2,biodiv2,DivDiff
Sonjo,-2.23,35.85,2,1,2.5,0.397940009,851.821468,0.56698048,0.681817,725599.8133,3214.66865,0.18898048
Boyela (4 subtribes),-1,23.25,2,1,2.2,0.342422681,2152.089093,0.391101525,0.662413943,4631487.465,1529.604032,0.013101525
Lugbara,3,31.25,3,1,58.00316957,1.763451726,1551.969599,0.504900225,0.754251165,2408609.637,2549.242368,0.126900225
Azande,5.41,27.11,2,1,10.67068833,1.028192435,1853.772301,0.353518695,0.713198364,3436471.744,1249.754674,0.024481305
NE Igbo,6,8,3,1,160.6870229,2.205980805,2241.590431,0.434571094,0.813562966,5024727.662,1888.520355,0.056571094
Tiv,7,9,2,1,95.18828452,1.9785835,2029.736613,0.37714903,0.805664056,4119830.718,1422.413909,0.00085097
Nuer,8.5,31.5,2,1,2.573340196,0.410497204,1249.137911,0.311436358,0.606622881,1560345.522,969.9260532,0.066563642
Kofyar (Bong),9,9.16,2,1,148.3279462,2.171222983,1758.703636,0.377835657,0.74130489,3093038.478,1427.597837,0.000164343
Dogon,14.21,-3.37,2,1,6.792811321,0.832049552,873.1111276,0.289629395,0.700833804,762323.0412,838.8518627,0.088370605
Tigrinya (Mai Weini),15.31,38.91,2,1,61.17647059,1.786584418,847.5380314,0.341877252,0.492730907,718320.7147,1168.800557,0.036122748
Kekchi_Maya,16.05,-89.15,3,1,2.947440157,0.469444996,2520.714009,0.588761993,0.165014708,6353999.116,3466.406844,0.210761993
Ifugao (subarea),16.5,121,2,1,100,2,2069.487446,0.450233496,0.139243079,4282778.289,2027.102005,0.072233496
Lamet,20.9,101.4,2,1,2.8975,0.462023445,1861.358041,0.547144113,0.431545077,3464653.755,2993.666798,0.169144113
Khasi,25.32,91.19,2,1,20.20430837,1.305443988,2394.270329,0.491279235,0.601578756,5732530.408,2413.552871,0.113279235
Garo,25.35,90.25,2,1,16.94426336,1.229022693,2465.623786,0.42582558,0.615546178,6079300.654,1813.274246,0.04782558
Creek,33,-83,2,1,0.329989404,-0.481500005,1618.651372,0.242719768,-0.324953117,2620032.264,589.1288557,0.135280232
Hunzakut,36.5,75,2,1,4.088607595,0.611575431,249.9247122,0.204731773,0.042713658,62462.36179,419.1509899,0.173268227
Powhatan,36.54,-76.18,2,1,0.447437102,-0.349268007,1643.195519,0.271190827,-0.498028699,2700091.514,735.4446472,0.106809173
Huron,44,-78,2,1,9.933774834,0.997114312,1187.756031,0.179206251,-0.818669312,1410764.39,321.1488044,0.198793749
