Group,class,augmen2,Latitude,DENSITY2,LnDENSITY,Longitude,npp,biodiv,pathos
Heta,1,3,-23.52,0.096,-1.017728767,-53.68,1826.042771,0.496159122,0.043436338
Aweikomo,1,2,-28,0.041,-1.387216143,-50,1829.206113,0.539620722,0.166153044
Paraujano,3,NA,9.9,0.35,-0.455931956,-72.41,1850.723874,0.533535414,0.109154906
Siriono,1,1,-15,0.06,-1.22184875,-63.58,1878.615269,0.514700728,-0.004761382
Bororo,1,2,-16.52,0.5136,-0.289374985,-55,1895.610947,0.474696519,-0.065456187
Wikmunkan,1,2,-13.47,0.0841,-1.075204004,142,1944.367315,0.232974564,-0.335468222
Larikia,1,2,-12.6,0.4,-0.397940009,130.78,1962.435346,0.277608875,-0.208273856
Baka,1,3,2.39,0.1363,-0.865504144,15.31,1963.12406,0.444218922,0.732233443
Guayaki (Ache),1,1,-25.7,0.0348,-1.458420756,-55.38,1968.617342,0.483622244,0.025648245
Veddah,1,1,8.58,0.185,-0.732828272,81.25,1986.943206,0.360537613,0.328694935
Kaurareg,1,1,-10.77,0.35,-0.455931956,142.12,2005.60395,0.264333152,-0.325885681
Tiwi,1,2,-11.59,0.375,-0.425968732,130.87,2016.112494,0.218872599,-0.203900271
Bayaka,1,3,3.58,0.1747,-0.757707095,17.76,2027.801922,0.44635461,0.710111177
Aka,1,3,2,0.0906,-1.042871802,17,2043.807199,0.422990906,0.699335647
Kadar,1,1,10.25,0.5,-0.301029996,77.17,2058.924314,0.381393201,0.533578313
Mbuti,1,2,1.54,0.44,-0.356547324,28.61,2084.198565,0.559453055,0.767421373
Kuku-yalanji,1,2,-15.92,0.5,-0.301029996,145.32,2108.202073,0.355976696,-0.325896718
Agta (North Luzon),1,1,17.82,0.3794,-0.420902673,121.8,2122.883724,0.417116117,0.171526415
Hill-Pandaran,1,1,9.25,0.7037,-0.152612449,77.25,2148.704278,0.40194199,0.495938577
Nambikwara,1,2,-12.73,0.0778,-1.109020403,-59.55,2202.865384,0.507877485,-0.128988948
Ngatjan,1,2,-17.36,0.598,-0.223298816,145.56,2256.548473,0.321868924,-0.33537439
Efe,1,3,2.7,0.1596,-0.796967113,27.64,2276.034624,0.508093102,0.750305364
Yaruro-pume,1,1,6.85,0.1995,-0.7000571,-68.77,2288.425893,0.450306893,0.130231435
Shompen,1,2,7,0.39537,-0.402996287,93.77,2349.867903,0.286394554,-0.147388149
Semang,1,1,5.86,0.1757,-0.755228239,101,2360.571015,0.620982289,0.140902696
Akuriyo,1,2,3.01,0.0704,-1.152427341,-55,2374.845032,0.616180233,0.076625464
Agta (Isbela),1,1,17.48,0.42,-0.37675071,122.05,2394.270329,0.44448337,0.154116797
Agta (Casiguran),1,1,17.33,0.87,-0.060480747,122.13,2428.053625,0.441623284,0.148363894
Guahibo,1,1,5.38,0.1763,-0.753747688,-68.31,2438.228284,0.546434455,0.118390611
Mamu,1,1,-17.64,0.45,-0.346787486,145.84,2438.989741,0.321599329,-0.333424076
Ayta-Pinatubo,1,3,15.5,0.9189,-0.036731748,120.33,2438.989741,0.419451662,0.134998356
Nukak,1,1,2.56,0.0934,-1.029653124,-71.81,2466.228648,0.55644064,0.166080455
North Island,1,2,13.32,0.3338,-0.476513668,92.89,2485.370323,0.317335444,0.046836649
Punan,1,2,3,0.118,-0.928117993,114,2496.264766,0.539329876,0.07969767
Onge,1,2,10.7,0.401,-0.396855627,92.47,2534.466729,0.33651645,-0.035217869
Yuqui,1,1,-16.46,0.0166,-1.779891912,-64.97,2534.916886,0.57053983,-0.021532149
Kubu,1,1,-3.04,0.092,-1.036212173,102.69,2557.670284,0.526788791,0.15720433
Shiriana,1,1,3.86,0.156,-0.806875402,-66.17,2571.112751,0.755792645,0.082827996
Cholanaickan,1,1,10.18,0.705,-0.151810883,76.4,2624.898221,0.418381445,0.552137107
